Estació,Mitjanaanual,Gen.,Feb.,Mar.,Abr.,Mai.,Jun.,Jul.,Ago.,Set.,Oct.,Nov.,Des.
2008,0,4,0,6,0,4,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,4,0,5,0,5
2009,0,4,0,5,0,5,0,5,0,4,0,4,0,3,0,3,0,3,0,4,0,4,0,5,0,5
2010,0,4,0,4,0,4,0,5,0,5,0,4,0,4,0,4,0,3,0,4,0,4,0,5,0,5
2011,0,5,0,7,0,6,0,5,0,5,0,5,0,5,0,4,0,4,0,5,0,6,0,6,0,5
2012,0,5,0,6,0,6,0,6,0,4,0,4,0,5,0,4,0,4,0,4,0,5,0,5,0,4
Gràcia-Sant Gervasi,0,5,0,6,0,6,0,7,0,4,0,5,0,5,0,5,0,4,0,5,0,6,0,6,0,5
Eixample,0,6,0,7,0,7,0,7,0,5,0,6,0,7,0,6,0,5,0,6,0,7,0,7,0,6
Vall d'Hebron,0,3,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,3,0,2
Palau Reial,0,4,0,5,0,6,0,5,0,4,0,4,0,4,0,2,0,2,0,4,0,3,0,3,0,3
