INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
sportfacilities: rather satisfied,"33,5","20,4","43,1","34,3","40,6","40,8","41,6","30,2","48,3","49,8","38,2","39,2","20,0","27,2","43,0","31,2","41,8","40,9","38,9","37,7","23,2","46,7","36,7","46,8","38,8","40,3","35,0","25,4"
sportfacilities: rather unsatisfied,"10,5","21,0","13,2","16,7","16,5","7,4","13,0","21,2","17,1","17,3","20,1","20,7","16,0","19,3","7,5","16,2","5,8","9,9","17,1","17,3","18,6","18,7","22,7","4,7","10,3","14,0","19,7","10,5"
sportfacilities: not at all satisfied,"3,4","17,4","2,9","5,5","2,1","2,7","7,2","17,5","5,3","4,9","3,8","8,9","9,9","9,6","1,2","9,9","2,5","2,1","6,8","5,9","25,2","7,1","6,4","0,2","3,4","6,4","8,5","14,5"
sportfacilities: no reply,"38,3","30,5","19,2","24,5","18,6","24,6","8,7","19,2","14,9","15,1","25,1","21,1","44,4","32,7","12,0","34,9","15,9","26,3","24,7","29,6","26,3","14,8","23,5","3,1","27,9","22,4","11,8","33,3"
sportfacilities: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
sportfacilities: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with cinemas (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: not at all satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: no reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with cultural facilities (synthetic index 0-100),"91,3","72,6","93,3","96,5","96,9","92,6","94,8","73,5","87,4","87,5","96,0","76,0","90,1","86,7","94,0","94,9","94,3","98,7","93,2","85,4","78,4","92,2","90,0","98,0","96,7","95,6","81,9","77,2"
culturalfacilities: very satisfied,"31,3","21,4","40,1","59,6","68,0","41,1","60,1","23,7","26,0","20,4","54,9","20,5","30,1","32,8","53,3","38,5","47,4","74,1","33,0","17,1","17,5","28,3","26,8","61,4","59,7","62,9","34,3","24,5"
culturalfacilities: rather satisfied,"48,6","37,7","46,0","34,7","26,0","45,3","32,6","42,9","55,7","62,4","38,1","47,4","41,1","44,6","38,3","48,1","40,0","20,7","53,2","54,5","49,8","59,4","54,7","34,5","32,7","28,1","41,9","32,4"
culturalfacilities: rather unsatisfied,"5,2","14,9","4,7","2,6","1,9","6,2","3,4","13,5","9,2","10,7","3,1","14,5","5,1","9,2","5,0","3,7","3,6","1,1","4,9","9,6","9,9","5,8","8,0","1,6","2,4","2,8","13,2","9,0"
culturalfacilities: not at all satisfied,"2,4","7,4","1,5","0,8","1,1","0,7","1,7","10,5","2,6","1,1","0,8","7,0","2,7","2,7","0,8","1,0","1,7","0,2","1,4","2,6","8,7","1,6","1,1","0,4","0,8","1,4","3,6","7,8"
culturalfacilities: no reply,"12,5","18,6","7,7","2,3","3,1","6,8","2,1","9,4","6,4","5,4","3,1","10,6","21,0","10,7","2,5","8,7","7,3","3,9","7,5","16,2","14,1","4,9","9,4","2,1","4,4","4,8","7,0","26,2"
culturalfacilities: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
culturalfacilities: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with public internet access (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: not at all satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: no reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
public-internet: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfied with internet access at home (synthetic index 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: very satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: rather satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: rather unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: not at all satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: no reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: satisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet access at home: unsatisfied (rather+strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is easy to find a good job here (synthetic index 0-100),"31,7","52,1","64,5","67,9","20,0","14,8","17,0","27,3","21,8","17,4","44,3","13,7","8,3","15,1","53,6","18,5","67,8","49,1","56,6","15,8","33,9","43,9","47,5","53,0","73,9","47,6","17,3","16,5"
easy-to-find-a-job: strongly agree,"4,2","13,3","16,2","13,5","0,8","1,4","4,0","5,1","2,1","1,8","3,5","1,1","0,8","2,3","7,6","2,1","11,5","7,8","13,7","1,1","8,9","7,0","3,8","10,8","22,9","9,9","4,5","5,9"
easy-to-find-a-job: somewhat agree,"18,6","32,1","40,2","43,1","16,3","11,9","12,1","21,3","18,5","14,7","34,6","11,5","6,7","10,9","40,2","13,7","37,8","29,3","38,4","13,3","21,6","33,1","37,1","37,5","38,2","31,7","11,7","10,2"
easy-to-find-a-job: somewhat disagree,"31,0","21,5","20,7","17,7","50,2","28,3","30,3","28,5","45,6","44,3","29,2","35,4","11,5","22,4","31,8","22,3","17,5","27,6","22,6","22,1","19,9","26,4","29,3","29,9","14,0","24,1","15,8","26,9"
easy-to-find-a-job: strongly disagree,"18,1","20,3","10,4","9,0","18,2","48,3","48,3","41,7","28,5","34,1","18,7","43,8","71,3","51,7","9,6","47,3","5,9","10,8","17,4","54,6","39,7","24,8","16,0","13,0","7,6","21,7","61,9","54,4"
easy-to-find-a-job: no reply,"28,2","12,8","12,5","16,7","14,6","10,1","5,4","3,4","5,3","5,1","14,0","8,3","9,6","12,7","10,8","14,6","27,3","24,5","8,0","8,9","9,8","8,7","13,8","8,9","17,4","12,5","6,0","2,5"
easy-to-find-a-job: agree (strongly+somewhat),,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy-to-find-a-job: disagree (strongly+somewhat),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreigner here are well integrated (synthetic index 0-100),"42,7","70,4","61,3","52,4","31,0","50,3","63,8","20,3","39,5","38,5","55,9","51,7","58,1","66,0","66,8","78,6","46,7","28,3","65,6","65,2","74,6","73,8","83,2","37,9","42,9","62,4","63,7","63,4"
integration of foreigners: strongly agree,"8,0","21,7","10,8","3,7","3,9","9,1","18,0","5,6","4,5","4,9","8,3","5,0","16,6","12,7","14,8","14,8","7,1","2,7","13,2","9,2","19,0","17,1","17,4","2,8","7,4","20,1","27,8","21,8"
integration of foreigners: somewhat agree,"30,5","23,7","40,7","43,9","25,2","28,7","40,5","14,1","32,6","31,3","41,8","42,4","22,2","30,1","49,8","46,2","35,6","22,8","31,5","50,4","37,0","46,3","46,3","33,0","30,9","38,1","27,2","34,1"
integration of foreigners: somewhat disagree,"29,0","10,3","25,8","32,9","52,7","26,6","18,4","25,4","46,9","43,7","32,2","31,0","15,2","15,0","27,6","11,4","39,2","50,4","17,2","23,9","14,6","15,0","11,4","46,5","38,9","22,5","16,1","18,5"
integration of foreigners: strongly disagree,"22,7","8,8","6,7","10,3","12,0","10,7","14,8","51,8","10,0","14,1","7,3","13,3","12,8","7,0","4,5","5,2","9,5","14,1","6,2","7,9","4,5","7,5","1,5","12,1","12,1","12,6","15,3","13,8"
integration of foreigners: no reply,"9,7","35,5","16,1","9,2","6,2","25,0","8,2","3,2","5,9","5,9","10,4","8,2","33,1","35,2","3,2","22,4","8,7","10,0","31,9","8,6","24,9","14,2","23,3","5,5","10,7","6,8","13,6","11,8"
integration of foreigners: agree (strongly+somewhat),,,,,,,,,,,,,,,,,,,,,,,,,,,,
integration of foreigners: disagree (strongly+somewhat),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy to find good housing at reasonable price (synthetic index 0-100),"19,5","39,8","28,8","17,5","55,7","47,5","29,7","32,3","41,6","28,3","2,7","6,1","53,3","53,2","9,7","31,5","38,9","22,7","18,9","10,1","18,9","10,4","18,6","12,5","15,4","14,7","17,1","26,0"
easy-to-find-good-housing: strongly agree,"2,7","11,0","5,3","3,5","14,2","12,0","10,5","7,2","5,8","2,9","0,4","0,0","18,2","17,4","1,2","5,1","8,2","2,3","6,9","1,8","5,8","1,3","2,0","3,4","3,1","3,8","4,0","8,2"
easy-to-find-good-housing: somewhat agree,"14,4","21,1","21,3","13,1","36,8","27,6","17,8","22,1","27,1","22,2","2,3","5,7","23,3","26,1","8,3","21,1","25,0","17,2","10,1","7,7","11,9","8,7","14,2","8,8","11,4","10,3","12,2","17,1"
easy-to-find-good-housing: somewhat disagree,"32,5","21,7","28,9","37,2","31,5","26,5","19,2","26,6","30,6","35,3","19,3","22,5","14,1","20,1","34,6","25,8","34,4","34,4","27,2","20,3","20,3","22,2","35,5","31,7","34,7","21,3","11,5","29,7"
