1.Territori,
,
1.10.Arbrat viari. 2008-2012,
Districtes,Unitats
2008 (1),230.878
2009,231.899
2010,232.153
2011,232.761
2012,237.548
Total arbres al carrer,162.816
1. Ciutat Vella,7.112
2. Eixample,22.831
3. Sants-Montju√Øc,16.498
4. Les Corts,14.248
5. Sarri√-Sant Gervasi,14.185
6. Gr√cia,7.465
7. Horta-Guinard√≥,14.251
8. Nou Barris,16.919
9. Sant Andreu,17.743
10. Sant Mart√≠,31.564
Arbres als parcs,74.732
