INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
sportfacilities: rather satisfied,"40,0",,,"40,0","32,0",,"32,0","38,0","38,0","47,0","41,0","49,0",,,"35,0",,"46,0","37,0",,"38,0",,,,"46,0","44,0","38,0",,
sportfacilities: rather unsatisfied,"15,0",,,"20,0","29,0",,"18,0","21,0","32,0","22,0","18,0","24,0",,,"14,0",,"12,0","14,0",,"16,0",,,,"4,0","9,0","20,0",,
sportfacilities: not at all satisfied,"7,0",,,"5,0","8,0",,"14,0","25,0","13,0","6,0","7,0","5,0",,,"2,0",,"3,0","1,0",,"12,0",,,,"0,0","4,0","9,0",,
sportfacilities: no reply,"22,0",,,"18,0","25,0",,"14,0","5,0","10,0","18,0","24,0","10,0",,,"21,0",,"15,0","16,0",,"21,0",,,,"9,0","22,0","14,0",,
sportfacilities: satisfied (rather+strong),"57,0",,,"58,0","38,0",,"54,0","49,0","45,0","54,0","52,0","61,0",,,"63,0",,"70,0","69,0",,"50,0",,,,"86,0","65,0","57,0",,
sportfacilities: unsatisfied (rather+strong),"21,0",,,"24,0","37,0",,"32,0","46,0","45,0","28,0","24,0","29,0",,,"16,0",,"15,0","15,0",,"29,0",,,,"5,0","13,0","28,0",,
Satisfied with cinemas (synthetic index 0-100),"85,0",,,"96,0","91,0",,"88,0","91,0","86,0","90,0","91,0","90,0",,,"89,0",,"93,0","88,0",,"89,0",,,,"97,0","97,0","89,0",,
cinemas: very satisfied,"31,0",,,"63,0","41,0",,"43,0","41,0","13,0","19,0","40,0","25,0",,,"40,0",,"40,0","44,0",,"17,0",,,,"57,0","50,0","38,0",,
cinemas: rather satisfied,"40,0",,,"26,0","37,0",,"37,0","44,0","58,0","56,0","45,0","59,0",,,"33,0",,"37,0","25,0",,"53,0",,,,"32,0","35,0","42,0",,
cinemas: rather unsatisfied,"8,0",,,"2,0","6,0",,"6,0","5,0","9,0","6,0","6,0","9,0",,,"6,0",,"4,0","8,0",,"5,0",,,,"3,0","2,0","6,0",,
