INDIC_UR/TIME,Bruxelles / Brussel,Sofia,Praha,København,Berlin,Tallinn,Dublin,Athina,Madrid,Barcelona,Paris,Roma,Riga,Vilnius,Luxembourg (city),Budapest,Rotterdam,Wien,Warszawa,Lisboa,Bucuresti,Ljubljana,Bratislava,Helsinki,Stockholm,London,Zagreb,Istanbul
cinemas: satisfied (rather+strong),"68,8","56,8","67,8","87,7","80,8","53,2","83,3","65,3","68,7","67,4","81,0","76,1","59,0","58,7","73,6","50,2","73,8","77,8","76,0","69,3","38,8","74,0","58,2","84,4","83,9","73,5","61,3","55,2"
cinemas: unsatisfied (rather+strong),"10,1","9,2","9,2","5,0","7,4","12,5","6,0","13,7","15,4","10,4","8,6","11,8","10,8","10,0","11,9","11,3","4,6","5,2","7,3","10,8","21,2","9,1","9,8","4,8","4,2","13,4","19,1","20,5"
Satisfied with cultural facilities (synthetic index 0-100),"90,4","60,1","92,1","95,9","93,9","91,8","89,3","70,7","77,7","84,4","94,6","78,1","86,0","87,4","89,1","89,3","96,5","96,1","83,0","81,2","77,0","86,5","78,9","98,4","96,2","87,6","85,0","66,9"
culturalfacilities: very satisfied,"40,2","16,0","48,2","53,4","55,0","33,5","51,5","26,9","18,1","24,6","43,0","29,2","35,6","35,5","40,0","39,6","54,6","71,7","30,5","22,5","16,1","26,6","12,6","61,4","51,2","48,1","31,6","23,3"
culturalfacilities: rather satisfied,"41,1","30,4","35,3","40,2","33,6","51,2","34,9","36,2","52,6","47,8","46,0","42,4","39,2","41,6","38,3","38,8","33,7","20,8","45,7","46,9","46,2","54,6","56,8","33,4","38,3","33,6","47,8","27,9"
culturalfacilities: rather unsatisfied,"6,3","20,4","4,6","3,6","4,4","5,4","5,6","11,5","13,8","10,2","3,9","15,0","8,4","9,4","7,8","8,0","2,2","3,4","12,3","9,9","13,7","9,5","15,9","1,4","2,4","6,6","10,7","18,2"
culturalfacilities: not at all satisfied,"2,3","10,4","2,6","0,4","1,4","2,2","4,8","14,7","6,6","3,2","1,2","5,1","3,8","1,8","1,8","1,4","1,0","0,4","3,4","6,2","4,9","3,2","2,6","0,2","1,2","5,0","3,4","7,1"
culturalfacilities: no reply,"10,1","22,8","9,4","2,4","5,6","7,7","3,2","10,7","9,0","14,2","5,9","8,3","13,1","11,8","12,1","12,2","8,6","3,6","8,1","14,5","19,2","6,2","12,2","3,6","6,9","6,8","6,5","23,5"
culturalfacilities: satisfied (rather+strong),"81,3","46,4","83,5","93,6","88,6","84,7","86,4","63,2","70,7","72,4","89,0","71,6","74,8","77,1","78,3","78,5","88,3","92,6","76,2","69,4","62,2","81,2","69,3","94,8","89,5","81,7","79,5","51,2"
culturalfacilities: unsatisfied (rather+strong),"8,6","30,8","7,2","4,0","5,8","7,5","10,4","26,1","20,3","13,4","5,1","20,1","12,1","11,2","9,6","9,4","3,2","3,8","15,6","16,1","18,6","12,7","18,5","1,6","3,6","11,5","14,0","25,3"
